Tesla T10,11764
Radeon RX 5600,11753
EIZO Quadro MED-XN91,11748
Quadro RTX 4000 (Mobile),11684
L40-8Q,11670
Radeon Instinct MI60,11638
GeForce GTX 1660,11631
GeForce GTX 1080 with Max-Q Design,11604
Tesla P40,11596
Quadro P5200,11588
Quadro M6000 24GB,11566
Quadro P4200 with Max-Q Design,11562
Radeon Pro 5700,11457
Quadro P4000,11439
GeForce RTX 2070 with Max-Q Design,11414
Radeon PRO W6600M,11407
GeForce RTX 2060 (Mobile),11353
Radeon Pro Vega 48,11270
RTX 500 Ada Generation Laptop GPU,11193
RTX A2000 Embedded GPU,11117
GeForce GTX 980,11069
GeForce RTX 3050 A Laptop GPU,11015
RTX A1000 Embedded GPU,11009
Radeon RX 7600M,10999
Radeon Pro SSG,10972
RTX A1000,10811
Quadro RTX 3000,10784
GeForce RTX 3050 6GB,10758
Tesla M40 24GB,10641
RTX A2000 8GB Laptop GPU,10499
GeForce GTX 1070 (Mobile),10465
A40-48Q,10436
Radeon 8040S,10431
SuperDisplay Virtual Adapter,10390
Quadro P4200,10380
Tesla M40,10220
GeForce GTX 1650 SUPER,10186
L4,10153
Tesla T4,10153
GeForce RTX 3050 6GB Laptop GPU,10135
GeForce GTX 1660 Ti (Mobile),10102
GeForce RTX 3050 Ti Laptop GPU,10090
RTX A1000 6GB Laptop GPU,10070
GeForce GTX 1060,10060
GRID P40-2B,9842
GeForce GTX 1060 3GB,9822
Intel Arc A730M,9808
GeForce GTX 1070 with Max-Q Design,9765
Radeon R9 Fury + Fury X,9741
Radeon RX 6550M,9657
GeForce RTX 2060 with Max-Q Design,9645
GeForce GTX 970,9638
Radeon RX 6500 XT,9620
GRID P40-2Q,9581
Radeon RX Vega Ryzen 5 5600GT,9558
6FDF:FF,9529
Radeon R9 Fury,9513
GeForce RTX 3050 4GB Laptop GPU,9497
A10-12Q,9493
Intel Arc Pro A60,9493
RTX A2000 Laptop GPU,9487
RTX A1000 Laptop GPU,9471
GeForce GTX 780 Ti,9465
Ryzen 9 4900HSS with Radeon Graphics,9461
Intel Arc B390 GPU,9444
Quadro M5000,9412
Quadro P2200,9389
Radeon R9 Fury X,9377
Intel Arc GPU,9349
Radeon Pro 5600M,9324
Radeon RX 590,9303
Radeon R9 390X,9277
GeForce GTX 1060 5GB,9204
GeForce GTX TITAN Black,9192
CMP 40HX,9137
Quadro P3200 with Max-Q Design,9117
Inspiration CG620 MxGPU,9106
Quadro P4000 with Max-Q Design,9083
Radeon RX 5500 XT,9079
Tesla P4,9068
EIZO Quadro MED-XN72,9037
Radeon Pro W5500,8934
GeForce GTX TITAN Z,8897
Radeon RX 5600M,8879
Radeon RX 5500,8839
Radeon R9 390,8824
Radeon RX 580,8796
Radeon R9 295X2,8778
GeForce GTX 1660 Ti with Max-Q Design,8609
Easy&Light Display HUB Virtual Display,8576
Radeon RX 480,8541
Quadro P3200,8538
EIZO Quadro MED-XN71,8518
GRID RTX6000-1B,8473
Radeon R9 290X,8432
Miracast display port driver V3,8422
Radeon PRO W6400,8421
Radeon R9 290X / 390X,8380
Ryzen 5 4600HS with Radeon Graphics,8371
Radeon RX590 GME,8336
Radeon Pro Duo,8299
RTX A4500 Embedded GPU,8296
Tesla V100-PCIE-32GB,8260
Intel Arc B370 GPU,8253
GeForce GTX Titan,8185
Radeon R9 290,8174
Radeon 890M,8171
GeForce GTX 1060 (Mobile),8160
Radeon R9 290 / 390,8150
Quadro RTX 3000 with Max-Q Design,8147
Radeon 610M Ryzen 9 8945HX,8133
Intel Arc A530M,8013
Quadro K6000,8006
Ryzen 9 6900HS,8005
GeForce GTX 780,7949
Radeon RX 470/570,7930
Quadro M5500,7915
Radeon Pro 5500 XT,7911
GeForce GTX 1650,7868
T1200 Laptop GPU,7843
GeForce GTX 1060 with Max-Q Design,7840
Ryzen 7 8845HS w/ Radeon 780M,7766
Radeon Pro 580,7753
FirePro W9100,7748
Radeon RX 6400,7739
A40-8Q,7716
Radeon 880M,7710
Radeon Pro WX 7100,7709
GeForce RTX 2050,7705
T1000 8GB,7680
Radeon RX 6500,7660
Radeon RX 780,7658
T1000,7639
Radeon RX 580 2048SP,7628
Radeon RX 5300,7606
Radeon RX 580X,7597
EPSON Projector Support Driver for UD,7579
Radeon Pro 580X,7540
