cpu_name,passmark_score,passmark_rank,passmark_value
AMD Athlon XP 3100+,282,5256,
AMD Athlon XP 3200+,281,5257,
AMD Athlon XP1600+,183,5409,
AMD Athlon XP2400+,243,5313,
AMD Athlon64 X2 Dual Core 4600+,803,4603,
AMD BC-250,13897,1264,
AMD C-30,178,5418,
AMD C-50,262,5292,
AMD C-60,290,5250,
AMD C-60 APU,316,5211,
AMD C-70 APU,315,5215,
AMD Custom APU 0932,9428,1595,
AMD E-240,195,5384,
AMD E-300 APU,336,5177,
AMD E-350,430,5049,
AMD E-350 APU,423,5058,
AMD E-350D APU,486,5002,
AMD E-450 APU,439,5041,
AMD E1 Micro-6200T APU,600,4855,
AMD E1-1200 APU,380,5126,
AMD E1-1500 APU,385,5117,
AMD E1-2100 APU,408,5079,
AMD E1-2200 APU,474,5013,
AMD E1-2500 APU,593,4863,
AMD E1-6010 APU,542,4930,
AMD E1-6015 APU,584,4881,
AMD E1-6050J APU,1385,4008,
AMD E1-7010 APU,613,4846,
AMD E2-1800 APU,451,5034,
AMD E2-2000 APU,496,4988,
AMD E2-3000 APU,743,4683,
AMD E2-3000M APU,668,4783,15.54
AMD E2-3200 APU,986,4406,123.34
AMD E2-3800 APU,1136,4237,
AMD E2-6110 APU,1233,4139,
AMD E2-7015,611,4849,
AMD E2-7015 APU,653,4804,
AMD E2-7110 APU,1492,3925,
AMD E2-9000,958,4433,
AMD E2-9000e,883,4516,
AMD E2-9010,1073,4308,
AMD E2-9030,983,4410,
AMD Embedded G-Series GX-215JJ Radeon R2E,1094,4271,
AMD Embedded G-Series GX-224IJ Radeon R4E,1271,4102,
AMD Embedded G-Series GX-420GI Radeon R7E,1608,3829,
AMD Embedded R-Series RX-216GD,1628,3821,
AMD Embedded R-Series RX-418GD Radeon R6,3426,2776,
AMD Embedded R-Series RX-421BD,3000,2982,
AMD Embedded R-Series RX-421ND,3024,2966,
AMD EPYC 3101 4-Core,6050,2096,
AMD EPYC 3151,8306,1707,
AMD EPYC 3201,8672,1671,
AMD EPYC 3251,13685,1277,43.44
AMD EPYC 3451,19532,929,
AMD EPYC 4124P,18139,1006,
AMD EPYC 4244P,27164,587,
AMD EPYC 4245P,31186,463,130.49
AMD EPYC 4344P,33699,409,106.73
AMD EPYC 4345P,36259,369,110.21
AMD EPYC 4364P,34215,402,
AMD EPYC 4464P,47383,255,
AMD EPYC 4465P,50008,233,119.01
AMD EPYC 4484PX,50547,229,
AMD EPYC 4545P,54279,202,87.85
AMD EPYC 4564P,64443,128,96.15
AMD EPYC 4565P,63939,132,108.55
AMD EPYC 4584PX,59990,155,52.62
AMD EPYC 4585PX,68603,110,84.89
AMD EPYC 7203,17717,1036,50.91
AMD EPYC 7203P,22017,789,
AMD EPYC 7232P,17712,1037,40.69
AMD EPYC 7251,14935,1186,15.49
AMD EPYC 7252,19411,939,65.37
AMD EPYC 7261,11149,1461,1.59
AMD EPYC 7262,20779,856,33.68
AMD EPYC 7272,25161,650,54.11
AMD EPYC 7281,21621,812,72.32
AMD EPYC 7282,30289,490,151.45
AMD EPYC 72F3,27252,584,23.77
AMD EPYC 7301,14991,1184,10.34
AMD EPYC 7302,33499,413,46.21
AMD EPYC 7302P,32752,425,43.67
AMD EPYC 7303,28572,534,47.3
AMD EPYC 7303P,36487,367,61.43
AMD EPYC 7313,38938,339,50.91
AMD EPYC 7313P,40480,320,49.13
AMD EPYC 7343,43644,290,52.46
AMD EPYC 7351,23226,732,111.66
AMD EPYC 7351P,24871,663,20.78
AMD EPYC 7352,40370,321,55.68
AMD EPYC 7371,30156,496,49.44
AMD EPYC 73F3,46103,264,19.78
AMD EPYC 7401P,27836,563,61.87
